OV,RI,heb
2,25363,"‎סְגוֹל֒"
3,26874,"‎שַׁלְשֶׁ֓לֶת"
6,22375,"‎‎‎טִפְחָ֖א"
30,22369,"‎זַרְקָא֮"
9,22326,"‎פַּשְׁטָא֙"
10,22578,"‎יְ֚תִיב"
13,25201,"גֵּרֵשׁ מֻ֝קְדָּם"
16,25468,"‎תְּ֠לִישָא גְּדוֹלָה"
20,25408,"‎מַהְפַּ֤ך"
22,24557,"‎‎מֵרְכָא כְּפוּלָ֦ה"
24,22772,"‎קַדְמָ֨א"
25,28187,"‎תְּ֩לִישָא קְטַנָּה"
27,23322,"‎עוֹלֶ֫ה"
28,23808,"‎‎עִלּ֬וּי"
29,23983,"‎דְּ֭חִי"
8,25636,"‎צִנּוֹרִת֘"
31,22041,"מַסּוֹרָה"
37,23550,"צֵרֵי"
44,25394,"‎דָּגֵשׁ"
45,25740,"‎מֶתֶֽג"
46,28063,"מַקֵּף"
47,23580,"‎רָפֶה"
48,24926,"‎‎פָּסֵק"
49,29820,"שִׁין"
50,24221,"שִׂין"
51,29881,"‎סוֹף פָּסוּק"
52,23713,"[UPPER DOT]"
53,22478,"[LOWER DOT]"
56,23490,"‎אָלֶף"
57,25758,"‎בֵית"
63,25285,"חֵית"
80,27391,"‎רֵישׁ"
81,28814,"שין"
65,23392,"יוֹד"
82,22599,"‎תָּו"
36,25467,"‎‎חִירֶק"
19,23939,"מֻנַּח"
33,25082,"‎חָטֵף טֶגוֹל"
68,23822,"לָמֶד"
41,25754,"‎חוֹלֶם"
60,25677,"הֵא"
1,28812,"‎‎אֶתְנַחְתָּא"
70,21996,"‎מֵם"
69,25720,"‎מֵם sofit"
21,28273,"‎מֵרְכָ֥א"
39,22117,"‎פַּתָּח"
40,22288,"‎קָמֵץ"
61,24769,"וָו"
32,25108,"שְׁוָא"
38,25273,"סֶגוֹל"
77,26980,"sofit ‎צָדִי"
7,29844,"‎רְבִיעַ"
4,22508,"‎זָקֵף קָטָ֔ן"
66,24943,"sofit כָּף"
74,22013,"‎עַיִן"
76,23125,"פֵּא"
72,25392,"נוּן"
5,25484,"‎זָקֵף גָּד֕וֹל"
11,24585,"‎תְּבִ֛יר"
12,24564,"גֵּ֜רֵשׁ"
14,23202,"‎גֵּרְשַׁ֞יִם"
15,22490,"‎‎‎‎קַרְנֵי פָרָ֟ה"
17,22330,"‎פָּזֵ֡ר"
18,28741,"‎אַתְנַח הָפוּךְ"
23,29208,"‎דַּרְגָּא"
26,22774,"‎יֵרֶח בֶּן יוֹמ֪וֹ"
34,24330,"‎חָטֵף פַּתַח"
35,22259,"חָטֵף קָמֵץ"
42,22745,"‎‎חוֹלֶם וָו"
43,22743,"‎קִבּוּץ"
55,22416,"‎קָמֶץ קָטָן"
58,29500,"‎גִּמֶּל"
59,22111,"‎דָּלֶת"
62,24671,"‎זָיִן"
64,23238,"‎טֵית"
67,29574,"‎כָּף"
71,24835,"‎נוּן"
73,22129,"‎סָמֶךְ"
75,22132,"‎sofit ‎פֵּא"
78,29575,"‎צָדִי"
79,22079,"‎קוֹף"
54,25722,"‎נון מנוזרת"
