OV,RI,ACP,HEBREW
2,22581,3,"‎סְגוֹל֒"
3,26874,16,"‎שַׁלְשֶׁ֓לֶת"
6,29677,2,"‎‎‎טִפְחָ֖א"
8,22345,3,"‎זַרְקָא֮"
9,23002,18,"‎פַּשְׁטָא֙"
10,23680,7,"‎יְ֚תִיב"
13,29167,20,"‎מֻ֝קְדָּם"
16,22968,8,"‎תְּ֠לִישָא גְּדוֹלָה"
20,25775,24,"מַהְפַּ֤ך"
21,29573,14,"‎מֵרְכָ֥א"
22,22535,2,"‎‎מֵרְכָא כְּפוּלָ֦ה"
24,25459,5,"‎קַדְמָ֨א"
25,23013,10,"‎תְּ֩לִישָא קְטַנָּה"
27,25015,25,"‎עוֹלֶ֫ה"
28,23472,5,"‎‎עִלּ֬וּי"
29,26976,7,"‎דְּ֭חִי"
30,25154,25,"‎צִנּוֹרִת֘"
31,22041,,"מַסּוֹרָה"
32,23835,,"‎שְׁוָא"
37,28013,,"צֵרֵי"
44,24861,,"‎דָּגֵשׁ"
45,22276,23,"‎מֶתֶֽג"
46,24703,9,"מַקֵּף"
47,26925,,"‎רָפֶה"
48,23275,9,"‎‎פָּסֵק"
49,29517,,"שִׁין"
50,29535,,"שִׂין"
51,26980,15,"‎סוֹף פָּסוּק"
52,28188,,"[UPPER DOT]"
53,28187,,"[LOWER DOT]"
56,23490,,"‎אָלֶף"
57,25758,,"‎בֵית"
63,29418,,"חֵית"
80,27391,,"‎רֵישׁ"
81,25996,,"שׁין"
87,24868,,"‎‎גֶּרֶשׁ"
88,25472,,"גֵּרְשַׁיִם"
